Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[125.07389 121.11339 123.37172]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[122.10836 118.23646 120.49593]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[125.3922   121.85708  123.947845]], Reward:-3
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[121.80991  118.370575 120.453026]], Reward:-3
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[118.979164 115.63581  117.686035]], Reward:-3
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[116.52711 113.27593 115.27779]], Reward:-3
Episode: 8, Policy: Exploration, Action Index: 1, q values: [[118.83352  116.54815  118.341896]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[137.91887 134.95668 136.87776]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[135.08487 132.17369 134.08488]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[132.30783 129.45647 131.34715]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 2, q values: [[131.63104 130.14719 131.9362 ]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 2, q values: [[136.90514 135.98595 137.56206]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 2, q values: [[82.871086 81.45746  82.96037 ]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 0, q values: [[140.78366 139.59506 140.5456 ]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 0, q values: [[137.27467 137.0709  137.50687]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 2, q values: [[134.41475 134.21518 134.67615]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 2, q values: [[134.58954 134.39551 135.2305 ]], Reward:1
Episode: 8, Policy: Exploitation, Action Index: 2, q values: [[152.06352 151.83368 152.41812]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 0, q values: [[186.4877  187.44766 187.29497]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 2, q values: [[185.13405 186.07101 185.93336]], Reward:1
Episode: 8, Policy: Exploration, Action Index: 1, q values: [[176.33153 177.20502 177.03162]], Reward:1
