Episode: 12, Policy: Exploration, Action Index: 0, q values: [[228.88684 233.68697 230.2099 ]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[226.38452 231.40874 227.89825]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[197.23924 201.02379 200.16339]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[226.38452 231.40874 227.89825]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[197.23924 201.02379 200.16339]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[192.83981 196.87628 196.08414]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[239.96739 244.22832 241.65604]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[237.87938 242.1513  238.84244]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[235.54356 239.77774 236.49936]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[230.66867 234.91653 231.57945]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[204.68742 208.52592 206.07295]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[201.50081 205.17668 202.33101]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[190.20142 193.86093 192.16869]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[195.35733 199.67924 197.88287]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[193.3358  197.644   195.87448]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[201.71622 205.3687  203.68236]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[193.3358  197.644   195.87448]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[186.07362 189.73476 188.10371]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[191.70714 195.83076 194.07637]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[200.11084 203.57558 201.90189]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[183.04877 186.68134 184.39572]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[184.66661 188.54713 186.88116]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[182.87514 186.01332 184.4731 ]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[184.4766  188.8503  187.13547]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[209.54465 213.23383 211.31001]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[231.89955 235.40208 233.17729]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[224.37277 227.83871 224.92845]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[199.52054 202.69638 200.56291]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[194.10316 197.1825  194.62614]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[184.68695 187.6188  186.09097]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[189.98462 193.35143 191.71347]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[188.2536  191.66345 190.0099 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[185.39864 188.5471  186.90308]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[182.70139 185.27896 184.00656]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[184.90137 187.15758 184.82268]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[182.70139 185.27896 184.00656]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[187.31784 190.20488 188.8968 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[192.7663  194.05588 193.30478]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[190.13663 191.43268 190.72726]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[181.9615  183.2662  181.68523]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[182.50366 184.48654 183.60936]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[185.46457 186.06572 185.62616]], Reward:-3
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[207.2321  208.94946 207.29358]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[213.409   213.99648 213.42299]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[207.2321  208.94946 207.29358]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[206.89378 207.55113 206.89459]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[183.38907 183.05861 183.50887]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[181.84245 182.14012 182.61642]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[183.38907 183.05861 183.50887]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[181.50488 181.24428 182.05884]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[183.08487 182.19429 182.98433]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[180.2198  179.37302 180.18004]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[177.37027 176.56876 177.38654]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[178.1332  177.51176 178.70842]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[176.81612 175.56898 176.78297]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[178.1332  177.51176 178.70842]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[174.1146  173.21814 173.75832]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[170.63316 169.59712 170.41989]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[167.59853 166.65091 167.47214]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 0, q values: [[164.6268  163.77783 164.58786]], Reward:-3
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[162.06668 161.28487 162.11017]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[158.10168 157.51381 158.41153]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[183.34137 181.95528 183.01358]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[180.9786  179.67552 180.71573]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[164.72325 163.92409 165.44672]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[160.71913 160.20012 161.69962]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[158.80568 158.3218  159.82574]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[180.04738 179.04158 180.41788]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[146.9959  146.34703 147.09906]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[142.55968 142.2322  142.93869]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[176.30675 175.78452 176.8443 ]], Reward:1
