Episode: 28, Policy: Exploration, Action Index: 1, q values: [[99.407646 99.34855  98.88175 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[88.58177 89.15817 88.93695]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[101.548355 101.27479  101.03088 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[99.33051 99.11955 98.91312]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[97.239746 97.10012  96.910995]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[95.068306 94.981735 94.83635 ]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[92.81172  92.588234 92.53717 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[78.1777  78.02617 77.86405]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[75.35624 75.25841 75.08264]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[72.75815 72.76256 72.57079]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 2, q values: [[63.593315 63.902515 64.02646 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[72.953255 72.69686  72.60296 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[63.593315 63.902515 64.02646 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[73.90207  73.614975 73.75247 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[108.62519 106.98518 106.62236]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[105.96273 104.37046 104.00517]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[104.44138 103.23009 103.20907]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[100.896835  99.8766    99.91092 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[100.945145  99.60359   99.4637  ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[112.09234 110.03347 109.82029]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[100.94515  99.60359  99.46371]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[99.41136  98.14263  98.007965]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[101.082985  99.149765  98.49893 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[72.97163 72.1084  72.03623]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[64.77785 64.70283 64.58408]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[63.7338   63.6911   63.565983]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 1, q values: [[62.063892 62.075222 61.92086 ]], Reward:1
