Episode: 14, Policy: Exploration, Action Index: 2, q values: [[202.44781 205.63431 206.3213 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[192.61012 196.62056 196.8572 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[195.11217 198.36052 198.51357]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[212.21011 215.46268 215.83006]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[162.58543 166.33968 167.92993]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[209.39516 212.95686 213.43526]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[162.58543 166.33968 167.92993]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[208.88289 212.75467 212.7144 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[161.24289 165.37714 167.19688]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[207.0568  211.41646 211.6757 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[213.76637 217.89806 218.92815]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[211.11082 215.17805 216.23209]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[192.15332 196.46939 197.64949]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[211.34793 215.88286 217.10574]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[192.15332 196.46939 197.64949]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[191.70683 195.92645 196.4895 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[180.43558 184.41661 185.24742]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[171.04276 175.41994 176.25713]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[167.35028 171.73613 172.61118]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[177.30667 181.2333  182.1081 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[194.34938 198.80064 199.10551]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[196.59372 201.12318 201.93669]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[190.94205 195.39178 196.27518]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[191.99492 196.4571  196.77327]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[183.3495  186.96385 187.4889 ]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[174.52718 178.65224 179.20294]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 2, q values: [[171.53796 175.65512 176.22878]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[190.8201 194.6632 194.8157]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 1, q values: [[191.94858 195.19656 195.05588]], Reward:1
