Episode: 10, Policy: Exploration, Action Index: 1, q values: [[159.73936 158.03278 159.00822]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 2, q values: [[146.0518  144.7188  146.07513]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[159.73936 158.03278 159.00822]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[156.16953 154.87416 155.16588]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[153.25053 152.0017  152.29855]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[150.30374 149.10268 149.41058]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[184.7916  183.27818 184.08507]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[181.9321  181.02705 181.0571 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[179.92151 179.01984 179.0665 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[177.95155 177.06091 177.1312 ]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[175.82637 174.95055 175.07861]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[171.65263 171.48924 171.33357]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[169.51752 169.345   169.23462]], Reward:-3
Episode: 10, Policy: Exploitation, Action Index: 0, q values: [[167.41872 167.24043 167.15248]], Reward:-3
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[165.28714 165.09904 165.03958]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[160.88144 161.2008  161.09602]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[147.79904 148.48848 148.26904]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[160.88144 161.2008  161.09602]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[136.1551  136.64552 135.89923]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[131.2958  132.30246 131.3255 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[115.996445 117.03926  116.78647 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[129.42084 130.24892 129.95596]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[115.996445 117.03926  116.78647 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[129.66742 130.93951 129.76898]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[114.55355 115.83258 115.40359]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[113.23641  114.510796 114.11197 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[125.54395  126.650764 126.19766 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[149.12608 150.46512 148.95706]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[171.70218 173.54204 172.24399]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[168.58086 170.39345 169.23569]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[177.03905 178.49316 177.16516]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[167.44577 169.68987 168.4961 ]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[175.84253 177.7486  176.38303]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[185.95909 188.51968 186.3532 ]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[160.84026 162.88162 161.80557]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[157.06499 159.55252 158.32568]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 1, q values: [[181.36908 184.51031 182.46234]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[147.8418  150.42558 149.17906]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[145.3283  147.91655 146.72412]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[139.5996  142.5245  141.52142]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[153.08481 155.8008  154.84161]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[129.3602  131.90321 130.43655]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[153.08481 155.8008  154.84161]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[152.16977 155.17531 154.37639]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 2, q values: [[150.0742  153.0546  152.28899]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[135.59972 138.76549 137.96994]], Reward:1
Episode: 10, Policy: Exploitation, Action Index: 1, q values: [[150.0742  153.0546  152.28899]], Reward:1
Episode: 10, Policy: Exploration, Action Index: 0, q values: [[135.29868 138.47226 137.22847]], Reward:1
