Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[2.780395  2.9181414 2.661235 ]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[3.343081  3.451684  2.9345825]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[2.9217849 3.1572702 2.8435938]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[2.8245912 3.0501342 2.7488053]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[3.0450304 3.2617218 2.9177723]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[3.3897488 3.5853963 3.2434394]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[3.4669647 3.7735076 3.3340862]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[3.8524823 4.1464286 3.6992443]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[6.52035   6.9260254 6.0236664]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[7.356443  8.012781  6.8349338]], Reward:-3
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[7.6744223 8.242379  7.385181 ]], Reward:-3
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[ 9.438499 10.420339  8.758185]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[8.220746  9.061174  7.6282725]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[8.168268 8.984575 7.564219]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[8.578017  9.516734  7.9267087]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[5.7693048 6.400791  5.5313454]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[8.578017  9.516734  7.9267087]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[5.7693048 6.400791  5.5313454]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[6.3980856 7.101344  6.1182003]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[5.1854243 5.6969037 4.9576745]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[6.275419  6.8226404 5.7793202]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[4.72853   5.2131767 4.5527096]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[5.0448284 5.56308   4.846106 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[4.7448144 5.219018  4.5507455]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[4.5315833 4.989349  4.3621383]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[5.544676  6.1048265 5.3011327]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[7.0753403 7.737158  6.7628584]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[11.466768 12.378771 10.655081]], Reward:-3
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[13.777348 15.255319 12.897743]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[13.445909 14.88747  12.61034 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[14.45442   15.6898985 13.7525015]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[15.096142 16.667398 14.150511]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[12.844746 13.841751 11.91637 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[12.600672 13.552314 11.670625]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[8.933866 9.753319 8.515847]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[14.136814 15.209646 13.082051]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[13.881844 14.930567 12.859888]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 1, q values: [[8.829205 9.640926 8.414125]], Reward:1
Episode: 2, Policy: Exploitation, Action Index: 1, q values: [[15.523156  16.734308  14.3843565]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 2, q values: [[18.775614 20.687887 17.52327 ]], Reward:1
Episode: 2, Policy: Exploration, Action Index: 0, q values: [[15.523156  16.734308  14.3843565]], Reward:-10
