Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[200.91125 197.70476 195.92924]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[197.40001 194.30458 192.60439]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[189.53204 186.87987 185.05193]], Reward:-3
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[185.10402 182.59447 180.86032]], Reward:-3
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[181.82751 179.4613  177.76042]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[179.05136 176.81097 175.12993]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[177.47818 175.42183 172.34544]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[175.6734  173.72403 170.72922]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[174.58258 172.68782 169.7483 ]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[173.71022 171.88748 169.06374]], Reward:-3
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[172.29582 170.855   167.77989]], Reward:-3
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[172.24582 170.7828  167.78491]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[176.07918 173.46783 170.25833]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[173.23538 170.72212 167.56342]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[176.09293 174.20563 171.08598]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[171.51607 169.77911 166.79272]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[167.7553  166.12254 163.24706]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[164.9962  163.43977 160.61894]], Reward:-3
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[161.45514 160.67848 157.84653]], Reward:-3
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[158.7261  158.03523 155.26093]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[175.3406  174.26382 171.15514]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[158.7261  158.03523 155.26093]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[154.98888 154.77753 152.56053]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[152.20218 152.07036 149.88644]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[149.72401 149.64346 147.49954]], Reward:-3
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[147.76276 147.7148  145.61014]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 1, q values: [[141.603   141.64877 140.13988]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[146.04787 146.25108 144.64928]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 1, q values: [[175.87674 176.54115 174.68921]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[195.16286 195.61122 193.3913 ]], Reward:-3
Episode: 17, Policy: Exploitation, Action Index: 0, q values: [[166.16087 165.3804  164.89996]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[154.3359  153.71303 153.53934]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[229.15553 229.24261 226.98288]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[231.19153 230.65555 228.79202]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[226.21333 226.42665 225.2741 ]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 1, q values: [[227.3068  228.14397 226.49538]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[226.21333 226.42665 225.2741 ]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 0, q values: [[222.5374  222.77765 221.6601 ]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[218.04245 218.83662 218.58626]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[223.50235 224.85411 224.09988]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[206.32915 207.89305 207.13232]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 1, q values: [[157.82596 159.60426 158.85788]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 2, q values: [[205.80484 207.70378 207.88438]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 1, q values: [[157.53445 159.57082 159.54782]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 1, q values: [[205.80484 207.70378 207.88438]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[222.90598 224.61761 224.88052]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 2, q values: [[205.38184 207.36823 207.849  ]], Reward:1
Episode: 17, Policy: Exploration, Action Index: 2, q values: [[157.21547 159.31972 159.52934]], Reward:1
Episode: 17, Policy: Exploitation, Action Index: 2, q values: [[183.59041 186.13538 187.05753]], Reward:1
