Episode: 24, Policy: Exploration, Action Index: 2, q values: [[144.32666 145.16577 143.89177]], Reward:1
Episode: 24, Policy: Exploration, Action Index: 2, q values: [[170.47116 171.0505  169.08414]], Reward:1
Episode: 24, Policy: Exploration, Action Index: 2, q values: [[157.50655 157.34464 155.56909]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[148.12595 148.57298 147.01335]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[155.51761 155.65666 154.36792]], Reward:1
Episode: 24, Policy: Exploration, Action Index: 1, q values: [[156.42615 157.06912 155.71536]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[142.04012 143.14691 142.32368]], Reward:-3
Episode: 24, Policy: Exploration, Action Index: 2, q values: [[165.65787 166.15161 165.08737]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[140.52972 142.15564 141.75966]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[164.06697 165.1696  164.5996 ]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[167.09679 168.2509  167.14857]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[151.02457 152.98526 152.02232]], Reward:-3
Episode: 24, Policy: Exploration, Action Index: 0, q values: [[143.41908 145.30704 145.77519]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 2, q values: [[141.38199 143.24603 143.70801]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[144.89925 147.37506 146.85117]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 2, q values: [[141.38199 143.24603 143.70801]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 1, q values: [[144.60658 147.33936 147.14995]], Reward:1
Episode: 24, Policy: Exploration, Action Index: 0, q values: [[141.12369 143.24013 144.02766]], Reward:1
Episode: 24, Policy: Exploitation, Action Index: 2, q values: [[139.77    141.88385 142.62532]], Reward:1
