Episode: 18, Policy: Exploration, Action Index: 2, q values: [[241.82422 237.93172 237.30652]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[225.2583  222.22855 222.59247]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[221.88371 218.95338 219.34781]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[219.04161 215.35509 215.59593]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[240.2913  235.50381 234.61261]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[219.04161 215.35509 215.59593]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[215.71103 212.15138 212.41772]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[228.61804 225.122   224.4853 ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[227.46948 223.9848  223.352  ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[226.3238  222.84744 222.21883]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[225.20581 221.74028 221.1157 ]], Reward:-3
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[225.7723  222.07115 221.24178]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 0, q values: [[201.86795 198.13942 197.75156]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[199.35641 195.71753 195.31535]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[222.94916 219.28397 218.48198]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[223.19815 219.33267 218.561  ]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 0, q values: [[197.9475  194.23207 193.80441]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 1, q values: [[195.75227 192.1016  191.65855]], Reward:1
Episode: 18, Policy: Exploration, Action Index: 2, q values: [[260.52545 255.56328 253.62044]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[198.05959 194.40749 193.9888 ]], Reward:1
Episode: 18, Policy: Exploitation, Action Index: 0, q values: [[195.90187 192.31383 191.8754 ]], Reward:-10
