Episode: 13, Policy: Exploration, Action Index: 2, q values: [[185.74294 189.82948 191.91324]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[163.68658 166.83354 168.1204 ]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[177.11609 180.06287 181.6232 ]], Reward:-3
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[173.20337 176.90851 179.11818]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[193.90305 197.74974 199.72038]], Reward:-3
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[204.05066 208.11255 210.96735]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[193.90305 197.74974 199.72038]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[202.68417 207.28984 210.32144]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[191.8187  196.7085  199.44379]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[191.03386 195.86107 198.58173]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[194.79092 199.6599  201.5748 ]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[141.87971 145.7671  149.59589]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[172.61638 177.56412 180.16406]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[141.87971 145.7671  149.59589]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[172.61638 177.56412 180.16406]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[169.29617 173.89131 176.67143]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[174.79483 179.0394  181.41673]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[188.10536 192.17899 195.40643]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[174.79483 179.0394  181.41673]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[188.84497 192.41765 195.54927]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[175.46062 179.24065 181.52797]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[188.84497 192.41765 195.54927]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[183.57578 187.93718 190.79837]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[166.08063 168.66075 170.57034]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[161.68813 164.28734 166.16208]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[182.11978 185.77354 188.49098]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[181.85301 185.49771 188.19308]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[161.34398 162.71371 165.60274]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[156.18892 157.61516 160.42084]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[178.13446 179.57266 182.76172]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 2, q values: [[177.24104 178.92734 182.43663]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 1, q values: [[207.3948  208.33191 211.70653]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[186.66154 187.78539 191.263  ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[207.3948  208.33191 211.70653]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[204.46014 205.3863  208.73055]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[239.39331 240.19504 243.85965]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[225.64458 226.87097 230.2307 ]], Reward:1
Episode: 13, Policy: Exploration, Action Index: 0, q values: [[228.27954 229.3984  231.99675]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[227.24115 228.3336  230.88838]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[179.03381 181.00142 183.51476]], Reward:1
Episode: 13, Policy: Exploitation, Action Index: 2, q values: [[217.92282 219.88771 221.64893]], Reward:1
