Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[239.99196 235.20134 234.68127]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[236.36383 231.7133  231.25581]], Reward:-3
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[232.18156 228.11815 227.93446]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[233.11201 228.60548 227.72293]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[228.76575 223.55963 222.58507]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[232.62016 227.93762 227.18091]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[230.58092 226.72643 226.1171 ]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[227.00107 223.3168  222.7635 ]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[242.15146 237.69421 236.52116]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[293.5276  288.0878  287.39816]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[292.06805 288.30765 287.86435]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[241.35913 238.2444  237.29823]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[237.52768 234.51314 233.57886]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[233.52426 230.63498 229.72266]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[230.5317  228.97717 228.36153]], Reward:-3
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[226.34181 224.92256 224.30768]], Reward:-3
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[222.02179 220.74039 220.14034]], Reward:-3
Episode: 19, Policy: Exploitation, Action Index: 0, q values: [[217.74005 216.5415  215.99913]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[213.22931 212.68317 212.94266]], Reward:-3
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[209.2863  208.8381  209.11044]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[205.23003 205.34747 206.14365]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[202.42064 202.63402 203.4316 ]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[199.21106 199.85141 201.45827]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[197.28511 197.9605  199.56744]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[199.45494 199.68716 200.98053]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[196.91824 197.20326 198.51422]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[256.40784 255.80336 257.34506]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[248.2646  248.29646 250.60864]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[244.3456  244.49866 246.8142 ]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[241.54663 241.75517 244.06581]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[262.86545 263.59918 266.37363]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 0, q values: [[238.3823  239.19893 241.88101]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[233.71188 234.65767 237.33586]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[261.0232 261.8783 264.6304]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[293.22614 294.0509  297.44937]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[261.58374 262.3142  266.189  ]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[299.95917 300.4869  303.83896]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[261.58374 262.3142  266.189  ]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[295.6997  296.60397 300.21765]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[257.77774 258.8343  262.92548]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[295.6997  296.60397 300.21765]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[266.10388 266.47427 270.47766]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[252.53035 254.31152 258.20303]], Reward:-3
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[211.36584 212.03879 214.83253]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[252.53035 254.31152 258.20303]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[262.67365 263.481   267.55533]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 1, q values: [[251.199   253.1537  256.79376]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[261.3432  262.33398 266.14862]], Reward:1
Episode: 19, Policy: Exploration, Action Index: 2, q values: [[251.199   253.1537  256.79376]], Reward:1
Episode: 19, Policy: Exploitation, Action Index: 2, q values: [[210.3421 211.1626 213.7496]], Reward:1
