Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[13.504248 14.739852 12.737198]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[18.433353 20.05969  17.260065]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[17.755857 19.248714 16.594109]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[18.126099 19.89808  16.948887]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[17.719385 19.440987 16.585434]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[19.577948 21.124464 18.31904 ]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[16.99535  18.492403 15.977247]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[19.577948 21.124464 18.31904 ]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 1, q values: [[16.99535  18.492403 15.977247]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[21.77979  23.512915 20.45537 ]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[22.022913 24.046728 20.719357]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[20.367361 22.166681 19.250217]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[22.022913 24.046728 20.719357]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[23.898027 26.0742   22.557117]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[23.375132 25.512394 22.097132]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[22.808832 24.92048  21.611671]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[20.603447 22.36981  19.5667  ]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 1, q values: [[25.318047 27.654896 24.036474]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[22.909824 24.880117 21.809092]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[21.695576 23.88744  20.802956]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[26.178192 28.219692 24.56989 ]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[28.92253  31.231823 27.244173]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[22.83699  25.109411 22.037203]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[28.92253  31.231823 27.244173]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[30.877584 33.60952  29.364677]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 0, q values: [[38.63374  41.973934 36.675533]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[37.97716  41.24761  36.063614]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[37.00728  40.229946 34.97302 ]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[31.969065 34.73349  30.384178]], Reward:1
Episode: 3, Policy: Exploration, Action Index: 2, q values: [[38.671036 42.068405 36.645573]], Reward:1
Episode: 3, Policy: Exploitation, Action Index: 1, q values: [[35.460064 38.500908 33.764355]], Reward:1
