Episode: 20, Policy: Exploration, Action Index: 1, q values: [[298.23114 303.97644 300.96094]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[332.0954  337.81635 334.19385]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[324.34262 329.4619  324.9091 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[312.0356  318.3353  314.25406]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[281.07632 286.8835  282.68494]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[325.7238  331.98807 324.84808]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[330.14505 337.17294 330.58066]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[325.05215 332.12946 325.69296]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[321.09665 327.6248  319.04755]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[294.52927 300.27496 291.57108]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[267.85202 273.80475 266.41006]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[267.0494  272.10913 264.64713]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[268.13403 273.05167 264.03488]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[273.88794 279.49603 270.94626]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[295.2642  300.32047 291.01166]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[293.16922 298.39816 288.17657]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[258.91034 264.17795 254.36797]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[258.77484 262.41177 253.77252]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[257.11884 260.70874 252.09169]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[250.97075 256.3134  246.90576]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[267.95804 271.7483  261.6165 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[242.05229 247.12611 238.10626]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[248.3185  251.67659 243.42293]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[273.135   276.92303 266.5024 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[269.25842 273.52756 264.5864 ]], Reward:-3
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[276.01974 279.62018 270.7151 ]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[260.9636  264.17612 254.94086]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[276.01974 279.62018 270.7151 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[268.99228 273.16724 264.55072]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[275.76285 279.26755 270.6931 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[260.72552 263.84866 254.92609]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[232.96149 236.4271  228.97696]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[264.0747  267.36005 258.87173]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[235.95464 239.57161 232.51674]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[238.62709 241.43913 234.1695 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[248.00447 251.55684 243.8388 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[243.99162 246.274   240.28127]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[253.60167 256.61072 250.22241]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[261.69287 265.5034  259.37387]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[279.80597 282.6892  276.2921 ]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[278.8933  281.5098  276.20706]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[275.39923 278.01993 272.79764]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[257.38394 261.3439  256.63895]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[244.79182 247.38905 244.38512]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[293.00116 295.71143 291.73212]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[292.9782  296.2327  293.12265]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[293.00116 295.71143 291.73212]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[292.9782  296.2327  293.12265]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[307.66064 309.9551  308.83832]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[292.9699 294.9423 292.9793]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[289.4755  291.44467 289.49902]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 1, q values: [[258.637   261.1188  259.97412]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[264.02618 264.7555  265.02347]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[261.30783 262.91232 263.35486]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[256.61295 258.33823 258.81085]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[255.63638 257.32083 257.7651 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[281.33636 281.2622  282.61005]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[311.884   312.04285 314.3847 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[281.33636 281.2622  282.61005]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[277.28796 277.20074 278.56995]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[308.7953 308.2976 312.2297]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[305.28635 304.84457 308.7516 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[297.4967  298.11746 301.4001 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[305.28635 304.84457 308.7516 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[294.0561  294.19843 298.69763]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[288.10687 287.18164 291.54764]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[301.50223 300.22482 305.11557]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[288.10687 287.18164 291.54764]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[280.4597 278.9658 284.208 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[296.6886  294.7985  300.60315]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[280.4597 278.9658 284.208 ]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[286.49377 286.11932 291.51456]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[280.85596 280.1152  285.62357]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[272.18915 270.36288 275.74728]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[280.85596 280.1152  285.62357]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[272.18915 270.36288 275.74728]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[291.60324 289.08603 294.34467]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[235.59038 235.29189 240.92928]], Reward:-3
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[290.1964  288.04004 292.77167]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[235.59038 235.29189 240.92928]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[289.58304 286.70364 290.79257]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[267.90353 265.50003 269.1858 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[289.58304 286.70364 290.79257]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[234.02673 233.42073 238.09517]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[228.3828  226.80121 231.39362]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[283.9024  280.06744 283.62323]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[280.86533 277.08154 280.63037]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[277.5595  273.8674  277.36493]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[225.1952  223.11256 227.27887]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[278.8871  274.13074 277.56107]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[275.4131 270.7551 274.1694]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[227.60449 225.66867 229.55864]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[228.39493 226.54236 229.78398]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 2, q values: [[227.0014  225.30614 228.64056]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 0, q values: [[271.24606 266.75372 269.4555 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[267.85477 263.46744 266.16452]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 2, q values: [[268.58008 264.16818 266.47195]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[296.01163 290.5646  293.3302 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[293.11215 287.73196 290.49106]], Reward:1
Episode: 20, Policy: Exploration, Action Index: 1, q values: [[290.43378 285.10373 287.8518 ]], Reward:1
Episode: 20, Policy: Exploitation, Action Index: 0, q values: [[267.91968 263.5945  265.4417 ]], Reward:1
