Episode: 16, Policy: Exploration, Action Index: 2, q values: [[191.39186 188.70404 189.93434]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 0, q values: [[218.16284 214.9237  215.7002 ]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[194.09744 191.07736 191.73611]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 0, q values: [[192.29707 190.15967 191.3478 ]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 2, q values: [[189.6128  187.53183 188.74455]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 0, q values: [[185.6712  183.13124 184.22095]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 0, q values: [[182.2798  179.80728 180.93387]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[180.7968  179.29915 180.52328]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[185.13383 184.10414 185.38084]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[166.34836 165.20465 166.71812]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 2, q values: [[185.13383 184.10414 185.38084]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[182.19362 181.51637 182.91187]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[178.55116 177.92284 179.32849]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[177.00049 177.05698 178.66858]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[173.39777 173.52248 175.14868]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[176.86938 177.11674 178.5087 ]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[174.9614  175.89507 177.4863 ]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[172.3926  173.36328 174.9407 ]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[185.83733 186.47594 187.75621]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[173.32938 174.96571 176.56984]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[174.1089  175.07425 176.54193]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[170.80945 171.83165 173.29828]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 2, q values: [[167.30414 168.35896 169.81886]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[168.98561 171.23769 172.71309]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[168.01053 169.55888 170.96088]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[168.98561 171.23769 172.71309]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[181.29385 183.21318 184.58911]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[169.20836 171.92177 173.21677]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[168.16887 170.17215 171.3954 ]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[169.20836 171.92177 173.21677]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 2, q values: [[181.4761  183.88666 185.06966]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[244.06499 247.12952 247.90314]], Reward:-3
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[237.48775 240.69226 241.7568 ]], Reward:-3
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[247.49101 250.40822 251.30345]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[244.76337 247.64601 248.55186]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[221.64886 224.57051 226.45656]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[217.50818 220.42575 222.3447 ]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[231.85884 235.17389 235.97658]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[246.07751 249.40587 249.69861]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[181.39803 183.6768  184.58034]], Reward:-3
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[198.3393  202.23029 202.6863 ]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 0, q values: [[197.56195 201.48917 201.96965]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[197.66681 201.644   202.10199]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[171.89946 174.48338 174.72621]], Reward:1
Episode: 16, Policy: Exploitation, Action Index: 2, q values: [[167.0734  169.18205 169.44579]], Reward:1
Episode: 16, Policy: Exploration, Action Index: 1, q values: [[167.42029 170.16893 170.57393]], Reward:1
