43.0,1
119.0,2
79.0,3
58.0,4
41.0,5
92.0,6
32.0,7
27.0,8
99.0,9
41.0,10
31.0,11
24.0,12
60.0,13
14.0,14
73.0,15
42.0,16
9.0,17
42.0,18
32.0,19
13.0,20
25.0,21
62.0,22
41.0,23
102.0,24
22.0,25
52.0,26
16.0,27
34.0,28
29.0,29
28.0,30
6.0,31
72.0,32
15.0,33
21.0,34
21.0,35
21.0,36
9.0,37
5.0,38
16.0,39
15.0,40
49.0,41
11.0,42
13.0,43
6.0,44
20.0,45
9.0,46
7.0,47
9.0,48
21.0,49
6.0,50
54.0,51
9.0,52
11.0,53
16.0,54
9.0,55
9.0,56
9.0,57
9.0,58
20.0,59
9.0,60
5.0,61
9.0,62
6.0,63
13.0,64
79.0,65
15.0,66
9.0,67
20.0,68
35.0,69
9.0,70
9.0,71
9.0,72
13.0,73
9.0,74
9.0,75
27.0,76
28.0,77
48.0,78
9.0,79
9.0,80
14.0,81
10.0,82
20.0,83
7.0,84
9.0,85
9.0,86
14.0,87
6.0,88
15.0,89
15.0,90
13.0,91
9.0,92
9.0,93
9.0,94
24.0,95
13.0,96
13.0,97
