1.00000,30.00000,7.00000,7.00000,3.47640,0.23333,0.23336,0.11588
2.00000,99.00000,40.00000,40.00000,10.27229,0.40404,0.24498,0.10376
3.00000,342.00000,175.00000,175.00000,11.14229,0.51170,0.41180,0.03258
4.00000,22.00000,-9.00000,-9.00000,0.65685,-0.40909,0.37288,0.02986
5.00000,32.00000,21.00000,21.00000,1.52157,0.65625,0.39340,0.04755
6.00000,18.00000,-1.00000,-1.00000,0.65247,-0.05556,0.45587,0.03625
7.00000,41.00000,2.00000,2.00000,2.83435,0.04878,0.59426,0.06913
8.00000,523.00000,304.00000,304.00000,25.14615,0.58126,0.71642,0.04808
9.00000,51.00000,4.00000,4.00000,2.01263,0.07843,0.82683,0.03946
10.00000,282.00000,119.00000,119.00000,18.46232,0.42199,0.93273,0.06547
11.00000,36.00000,-15.00000,-15.00000,2.01406,-0.41667,1.08319,0.05595
12.00000,190.00000,83.00000,83.00000,9.88076,0.43684,1.07097,0.05200
13.00000,147.00000,76.00000,76.00000,12.64431,0.51701,1.16503,0.08602
14.00000,129.00000,50.00000,50.00000,8.79369,0.38760,1.30247,0.06817
15.00000,21.00000,2.00000,2.00000,2.08387,0.09524,1.47038,0.09923
16.00000,85.00000,62.00000,62.00000,5.38899,0.72941,1.29661,0.06340
17.00000,166.00000,71.00000,71.00000,14.25097,0.42771,1.35772,0.08585
18.00000,82.00000,11.00000,11.00000,7.58689,0.13415,1.53726,0.09252
19.00000,282.00000,175.00000,175.00000,21.00854,0.62057,1.52968,0.07450
20.00000,244.00000,129.00000,129.00000,19.11819,0.52869,1.74366,0.07835
21.00000,234.00000,131.00000,131.00000,20.08473,0.55983,1.84965,0.08583
22.00000,84.00000,13.00000,13.00000,7.13341,0.15476,1.95198,0.08492
23.00000,22.00000,-1.00000,-1.00000,1.95263,-0.04545,1.75979,0.08876
24.00000,86.00000,3.00000,3.00000,6.85780,0.03488,2.00463,0.07974
25.00000,139.00000,76.00000,76.00000,11.49155,0.54676,2.03076,0.08267
